Name,TestError,TrainError
CustomTrained_1.dat,6.875755378883686,1.340864168250526
CustomTrained_2.dat,6.913280137872251,3.5942676008785157
CustomTrained_3.dat,6.736143618289237,2.5698315020179767
CustomTrained_4.dat,6.877361670032651,1.4142978713649836
CustomTrained_5.dat,7.1519572241745175,2.580212660875643
Deprecated_CustomTrained_2.dat,6.992219088928558,3.618564338053168
